host_gen,pathogen_gen,assay_run,ramping_rate,CTmax
H,C20,23/3/17,0.04,37.27666667
H,C20,23/3/17,0.04,37.25
H,CTRL,23/3/17,0.04,37.354
H,CTRL,23/3/17,0.04,36.89933333
H,CTRL,23/3/17,0.04,37.372
H,CTRL,23/3/17,0.04,37.07733333
H,CTRL,23/3/17,0.04,37.88933333
H,CTRL,23/3/17,0.04,37.15533333
H,C1,27/3/17,0.04,37.62
H,C1,27/3/17,0.04,37.86
H,C1,27/3/17,0.04,37.16466667
H,C1,27/3/17,0.04,37.42266667
H,C1,27/3/17,0.04,37.34466667
H,C1,27/3/17,0.04,37.508
H,C1,29/3/17,0.04,37.48066667
H,C1,29/3/17,0.04,37.12866667
H,C1,29/3/17,0.04,37.15533333
H,C1,29/3/17,0.04,37.13866667
H,C1,29/3/17,0.04,37.572
H,C1,29/3/17,0.04,37.38666667
H,C1,31/3/17,0.04,37.41066667
H,C1,31/3/17,0.04,37.39
H,C1,31/3/17,0.04,37.31333333
H,C1,31/3/17,0.04,37.50533333
H,C1,31/3/17,0.04,37.32
H,C1,31/3/17,0.04,37.25466667
H,C14,27/3/17,0.04,36.804
H,C14,27/3/17,0.04,37.44466667
H,C14,27/3/17,0.04,37.072
H,C14,27/3/17,0.04,37.588
H,C14,27/3/17,0.04,37.182
H,C14,27/3/17,0.04,37.41733333
H,C14,29/3/17,0.04,37.644
H,C14,29/3/17,0.04,37.432
H,C14,29/3/17,0.04,37.63333333
H,C14,29/3/17,0.04,37.44866667
H,C14,29/3/17,0.04,37.39466667
H,C14,29/3/17,0.04,37.46333333
H,C14,31/3/17,0.04,37.43066667
H,C14,31/3/17,0.04,37.612
H,C14,31/3/17,0.04,37.49466667
H,C14,31/3/17,0.04,37.248
H,C14,31/3/17,0.04,37.866
H,C14,31/3/17,0.04,37.64733333
H,C20,27/3/17,0.04,37.174
H,C20,27/3/17,0.04,37.372
H,C20,27/3/17,0.04,37.56466667
H,C20,27/3/17,0.04,37.38466667
H,C20,27/3/17,0.04,37.568
H,C20,27/3/17,0.04,36.98266667
H,C20,29/3/17,0.04,37.42466667
H,C20,29/3/17,0.04,37.91666667
H,C20,29/3/17,0.04,37.55866667
H,C20,29/3/17,0.04,36.966
H,C20,29/3/17,0.04,36.988
H,C20,29/3/17,0.04,36.39466667
H,C20,31/3/17,0.04,37.66466667
H,C20,31/3/17,0.04,37.576
H,C20,31/3/17,0.04,37.30133333
H,C20,31/3/17,0.04,37.89466667
H,C20,31/3/17,0.04,37.40133333
H,C20,31/3/17,0.04,37.87933333
H,CTRL,27/3/17,0.04,37.64933333
H,CTRL,27/3/17,0.04,37.48066667
H,CTRL,27/3/17,0.04,37.59133333
H,CTRL,27/3/17,0.04,37.59933333
H,CTRL,27/3/17,0.04,37.766
H,CTRL,27/3/17,0.04,37.57533333
H,CTRL,29/3/17,0.04,37.83533333
H,CTRL,29/3/17,0.04,37.68866667
H,CTRL,29/3/17,0.04,37.78466667
H,CTRL,29/3/17,0.04,37.75933333
H,CTRL,29/3/17,0.04,37.76866667
H,CTRL,29/3/17,0.04,37.92466667
H,CTRL,31/3/17,0.04,37.66
H,CTRL,31/3/17,0.04,37.592
H,CTRL,31/3/17,0.04,37.67333333
H,CTRL,31/3/17,0.04,38.002
H,CTRL,31/3/17,0.04,37.67933333
H,CTRL,31/3/17,0.04,37.872
M,C1,21/3/17,0.04,38.352
M,C1,21/3/17,0.04,38.75133333
M,C1,21/3/17,0.04,38.02
M,C1,21/3/17,0.04,38.53466667
M,C1,21/3/17,0.04,38.77066667
M,C14,21/3/17,0.04,37.01466667
M,C14,21/3/17,0.04,38.268
M,C14,21/3/17,0.04,38.77866667
M,C14,21/3/17,0.04,37.73133333
M,C14,21/3/17,0.04,38.712
M,C14,21/3/17,0.04,38.318
M,C20,21/3/17,0.04,38.38066667
M,C20,21/3/17,0.04,38.74533333
M,C20,21/3/17,0.04,38.728
M,C20,21/3/17,0.04,38.328
M,C20,21/3/17,0.04,38.73866667
M,C20,21/3/17,0.04,37.734
M,C20,21/3/17,0.04,38.71933333
M,CTRL,21/3/17,0.04,38.966
M,CTRL,21/3/17,0.04,39.03933333
M,CTRL,21/3/17,0.04,38.43466667
M,CTRL,21/3/17,0.04,38.76133333
M,CTRL,21/3/17,0.04,38.33333333
M,CTRL,21/3/17,0.04,38.624
M,C1,23/3/17,0.04,37.83466667
M,C1,23/3/17,0.04,37.856
M,C1,23/3/17,0.04,36.75133333
M,C1,23/3/17,0.04,37.48466667
M,C1,23/3/17,0.04,37.31266667
M,C1,23/3/17,0.04,37.83733333
M,C14,23/3/17,0.04,38.16733333
M,C14,23/3/17,0.04,37.844
M,C14,23/3/17,0.04,38.15666667
M,C14,23/3/17,0.04,38.08066667
M,C14,23/3/17,0.04,37.89733333
M,C14,23/3/17,0.04,37.83933333
M,C20,23/3/17,0.04,37.93866667
M,C20,23/3/17,0.04,37.66666667
M,C20,23/3/17,0.04,37.86466667
M,C20,23/3/17,0.04,38.25
M,C20,23/3/17,0.04,37.95
M,C20,23/3/17,0.04,38.28866667
M,CTRL,23/3/17,0.04,38.298
M,CTRL,23/3/17,0.04,38.09733333
M,CTRL,23/3/17,0.04,38.10533333
M,CTRL,23/3/17,0.04,38.28133333
M,CTRL,23/3/17,0.04,38.27866667
M,CTRL,23/3/17,0.04,38.01666667
M,C1,27/3/17,0.04,37.18866667
M,C1,27/3/17,0.04,37.206
M,C1,27/3/17,0.04,37.30333333
M,C1,27/3/17,0.04,37.39666667
M,C1,27/3/17,0.04,37.334
M,C1,27/3/17,0.04,37.77933333
M,C1,29/3/17,0.04,37.21066667
M,C1,29/3/17,0.04,37.67466667
